post_id,video_duration_min,avg_view_duration_sec,avg_view_percentage,subscribers_gained,ctr_percentage,impressions,likes,comments,shares,engagement_rate,estimated_views,traffic_source,content_category,viral_actual,viral_predicted,viral_probability,Feature_Name,Importance_Value,Model_Metric_Name,Model_Metric_Value
YT0000077,33.43,1507,75.13,502,23.93,1106680,99480,2617,865,0.093,264829,Notifications,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000078,22.94,329,23.9,298,0.91,764571,56518,3475,2720,0.082,6958,Suggested,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000079,19.69,768,65.01,563,2.13,107448,85682,7524,858,0.8754,2289,Channel Page,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000080,19.42,1148,98.52,217,29.44,1066594,67259,4663,2355,0.0696,314005,Playlist,News,0,1,0.59,Not Applied,0.0,Not Applied,0.0
YT0000081,6.02,34,9.41,613,16.33,1752074,23263,21,2727,0.0148,286114,Playlist,Music,0,0,0.27,Not Applied,0.0,Not Applied,0.0
YT0000082,11.16,513,76.61,485,25.64,1200381,75459,3074,1020,0.0663,307778,Shorts Feed,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000083,59.92,3172,88.23,530,8.18,410019,3741,6217,880,0.0264,33540,Shorts Feed,Gaming,0,0,0.21,Not Applied,0.0,Not Applied,0.0
YT0000084,37.89,1975,86.87,330,1.36,1487653,39163,3580,676,0.0292,20232,Suggested,Education,0,0,0.07,Not Applied,0.0,Not Applied,0.0
YT0000085,47.23,450,15.88,57,0.98,959657,3145,2385,1115,0.0069,9405,Channel Page,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000086,1.93,72,62.18,295,9.74,290306,13414,2715,2071,0.0627,28276,Browse,Comedy,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000087,38.47,1359,58.88,69,14.53,892614,5486,1284,331,0.008,129697,Browse,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000088,20.98,1038,82.46,404,8.02,1803634,84474,7355,696,0.0513,144651,Search,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000089,1.6,24,25.0,499,4.54,790044,38488,6109,383,0.0569,35868,Notifications,News,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000090,36.88,2184,98.7,542,4.57,275897,98364,2853,2188,0.3748,12608,Suggested,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000091,42.87,1421,55.24,184,24.77,1682117,34835,7144,981,0.0255,416660,Shorts Feed,Gaming,1,1,0.67,Not Applied,0.0,Not Applied,0.0
YT0000092,36.92,1269,57.29,292,16.86,271171,51209,1187,383,0.1946,45719,Notifications,Sports,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000093,28.0,1291,76.85,139,11.73,40401,18389,1935,23,0.5036,4739,Suggested,Sports,0,0,0.2225051613918891,Not Applied,0.0,Not Applied,0.0
YT0000094,41.11,2228,90.33,632,25.13,1155926,57976,5395,521,0.0553,290484,Notifications,News,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000095,14.49,714,82.13,466,21.72,1683443,54229,6158,2509,0.0374,365644,Shorts Feed,Education,1,1,0.68,Not Applied,0.0,Not Applied,0.0
YT0000096,45.76,1932,70.37,189,7.56,72706,62308,7488,538,0.9674,5497,External,Music,0,0,0.27,Not Applied,0.0,Not Applied,0.0
YT0000097,2.1,111,88.1,208,23.27,146280,96579,982,1964,0.6804,34039,Playlist,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000098,27.69,1279,76.98,587,11.65,335996,18486,193,2478,0.063,39144,Search,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000099,30.11,718,39.74,71,29.55,974915,5258,7816,779,0.0142,288087,Channel Page,Music,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000100,44.74,2107,78.49,2,20.8,1131314,37750,3756,2040,0.0385,235313,Channel Page,Gaming,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000101,57.19,2141,62.39,525,1.64,359870,65770,1861,526,0.1894,5902,Notifications,Music,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000102,22.41,1014,75.41,244,1.34,715185,98146,7743,1382,0.15,9583,External,Education,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000103,32.93,344,17.41,478,14.55,465148,75779,3128,513,0.1707,67679,Channel Page,Music,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000104,49.49,206,6.94,698,19.09,1499062,36515,5901,154,0.0284,286171,Shorts Feed,Gaming,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000105,57.78,3300,95.19,601,2.19,1644264,8855,2355,134,0.0069,36009,Playlist,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000106,18.81,657,58.21,323,0.49,911024,45365,6158,569,0.0572,4464,Suggested,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000107,52.81,642,20.26,465,3.45,1992944,70360,3204,2642,0.0382,68757,Shorts Feed,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000108,18.0,429,39.72,345,11.52,1613063,85490,4445,920,0.0563,185825,Suggested,Comedy,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000109,31.4,1152,61.15,372,17.5,325988,94474,2353,713,0.2992,57048,Notifications,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000110,14.0,110,13.1,498,15.43,1375341,16390,7814,2140,0.0192,212215,External,Sports,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000111,9.13,53,9.68,361,18.56,789986,81208,957,740,0.1049,146621,Notifications,Gaming,0,0,0.03,Not Applied,0.0,Not Applied,0.0
YT0000112,57.28,349,10.15,567,26.69,1339354,80101,7331,2836,0.0674,357474,Browse,Vlog,1,1,0.6,Not Applied,0.0,Not Applied,0.0
YT0000113,20.38,161,13.17,250,23.7,261892,25742,5996,927,0.1247,62068,External,Vlog,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000114,30.89,1635,88.22,588,21.92,1340247,41226,2778,604,0.0333,293782,Playlist,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000115,54.6,2254,68.8,147,6.69,367902,89684,6597,2965,0.2698,24613,External,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000116,13.3,740,92.73,227,23.48,622323,46224,3683,2214,0.0838,146121,Notifications,Sports,0,0,0.26,Not Applied,0.0,Not Applied,0.0
YT0000117,55.34,2316,69.75,138,3.9,31356,85063,1183,2397,2.827,1223,Browse,Vlog,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0000118,41.19,2361,95.53,236,13.44,1360615,45121,149,2170,0.0349,182867,Shorts Feed,Sports,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000119,17.67,460,43.39,485,8.77,297736,48340,7940,1080,0.1927,26111,Notifications,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000120,44.66,1718,64.11,147,14.68,1709204,47600,1971,1130,0.0297,250911,Channel Page,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000121,45.02,675,24.99,137,28.37,981662,74802,5029,2152,0.0835,278498,Suggested,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000122,34.54,680,32.81,691,28.27,1816135,38354,6456,461,0.0249,513421,Search,Comedy,1,1,0.63,Not Applied,0.0,Not Applied,0.0
YT0000123,7.67,163,35.42,699,26.56,985759,34948,5810,1011,0.0424,261818,Shorts Feed,Education,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000124,29.53,1209,68.24,136,7.95,753527,31402,209,612,0.0428,59905,Shorts Feed,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000125,51.8,1452,46.72,370,16.41,1946615,41833,2946,1438,0.0237,319440,Browse,Vlog,0,0,0.19,Not Applied,0.0,Not Applied,0.0
YT0000126,13.31,205,25.67,32,20.25,1835330,39838,7306,2699,0.0272,371654,Notifications,Sports,1,1,0.57,Not Applied,0.0,Not Applied,0.0
YT0000127,37.27,955,42.71,352,19.56,1913282,4368,3809,987,0.0048,374238,Notifications,Comedy,1,1,0.84,Not Applied,0.0,Not Applied,0.0
YT0000128,11.09,216,32.46,101,15.32,814409,69809,3972,1087,0.0919,124767,Notifications,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000129,44.54,1412,52.84,581,0.5,1684639,36078,1823,1961,0.0237,8423,External,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000130,37.8,481,21.21,589,14.36,1084299,23572,5298,463,0.0271,155705,External,Gaming,0,0,0.04,Not Applied,0.0,Not Applied,0.0
YT0000131,41.31,1989,80.25,24,26.32,389764,47620,1141,784,0.1271,102586,Playlist,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000132,27.24,559,34.2,325,12.83,48741,98198,5559,748,2.1441,6253,External,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000133,35.51,648,30.41,589,24.35,1659723,9684,3954,2246,0.0096,404143,Channel Page,Vlog,1,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000134,28.85,940,54.3,581,27.68,205074,74801,3477,2082,0.3919,56764,Playlist,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000135,39.35,267,11.31,604,23.27,1057461,80593,3627,2684,0.0822,246071,Suggested,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000136,36.77,193,8.75,436,26.93,1423534,5489,7027,956,0.0095,383358,Playlist,Sports,1,1,0.73,Not Applied,0.0,Not Applied,0.0
YT0000137,12.15,347,47.6,80,5.46,187437,7468,6940,209,0.078,10234,Search,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000138,19.57,393,33.47,625,25.41,631994,12873,2827,2973,0.0295,160590,Channel Page,News,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000139,40.97,481,19.57,651,10.77,278944,63909,6864,1824,0.2603,30042,Playlist,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000140,44.37,673,25.28,337,0.77,267867,26208,7383,2539,0.1349,2063,Notifications,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000141,37.16,497,22.29,341,25.02,1397957,82127,3826,1119,0.0623,349769,Channel Page,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000142,33.5,677,33.68,551,28.57,141761,21973,5568,1073,0.2018,40501,Search,Music,0,0,0.02,Not Applied,0.0,Not Applied,0.0
YT0000143,40.56,775,31.85,664,4.97,161945,55280,5935,431,0.3807,8049,Browse,News,0,0,0.12,Not Applied,0.0,Not Applied,0.0
YT0000144,49.9,2086,69.67,481,20.45,222829,55639,3915,2091,0.2766,45569,Suggested,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000145,23.92,404,28.15,104,10.88,15355,94393,4656,1362,6.5393,1671,Shorts Feed,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000146,46.66,865,30.9,472,10.64,1429374,67437,3684,2,0.0498,152085,Browse,Comedy,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000147,8.58,430,83.53,322,15.28,1024228,66933,1190,92,0.0666,156502,Search,Vlog,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000148,13.45,390,48.33,145,0.13,862020,46178,7974,239,0.0631,1121,Shorts Feed,Gaming,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000149,16.52,117,11.8,231,27.25,1186134,96507,4740,539,0.0858,323222,External,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000150,32.01,1805,93.98,364,5.63,1315327,30090,7851,662,0.0293,74053,Playlist,Vlog,0,0,0.07,Not Applied,0.0,Not Applied,0.0
YT0000151,6.38,55,14.37,433,15.74,238555,38022,5838,2090,0.1926,37549,Search,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000152,13.95,200,23.89,34,18.91,1301048,52630,3688,2228,0.045,246028,Shorts Feed,Reacts,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000153,14.01,302,35.93,463,24.1,261659,81922,2082,2095,0.3291,63060,Suggested,Music,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000154,5.46,162,49.45,601,20.44,1554751,24163,5768,1795,0.0204,317791,External,Gaming,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000155,25.53,793,51.77,178,3.31,1921500,86376,5411,1280,0.0484,63602,Channel Page,Education,0,0,0.06,Not Applied,0.0,Not Applied,0.0
YT0000156,33.06,1308,65.94,302,19.19,1028156,45787,6115,2837,0.0532,197303,Shorts Feed,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000157,32.26,1515,78.27,570,2.32,425743,72498,2969,2354,0.1828,9877,Notifications,News,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000158,21.87,287,21.87,570,1.71,151181,70348,6978,1613,0.5221,2585,External,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000159,14.88,644,72.13,196,2.49,777221,87045,1785,970,0.1155,19353,Channel Page,Gaming,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000160,39.44,1591,67.23,228,21.88,715354,77978,1310,1851,0.1134,156519,Browse,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000161,25.22,614,40.58,667,22.63,534211,8015,129,750,0.0166,120892,Shorts Feed,Reacts,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000162,52.02,3090,99.0,418,14.86,584414,75773,430,247,0.1308,86844,Notifications,Tech,0,0,0.32,Not Applied,0.0,Not Applied,0.0
YT0000163,44.06,901,34.08,82,25.05,770485,61802,3455,797,0.0857,193006,Suggested,Sports,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000164,5.23,241,76.8,391,13.04,288147,7709,5797,1069,0.0506,37574,Suggested,Education,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000165,53.65,601,18.67,560,18.13,1303651,29068,5073,2816,0.0283,236352,Shorts Feed,Gaming,0,0,0.05,Not Applied,0.0,Not Applied,0.0
YT0000166,11.47,466,67.71,183,20.87,33323,16208,1527,1420,0.5748,6955,Channel Page,Gaming,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000167,55.43,914,27.48,165,7.31,982553,39479,4566,32,0.0449,71825,Channel Page,Music,0,0,0.21,Not Applied,0.0,Not Applied,0.0
YT0000168,56.58,167,4.92,528,7.95,478303,28194,2744,2402,0.0697,38025,Notifications,Reacts,0,0,0.2,Not Applied,0.0,Not Applied,0.0
YT0000169,11.85,659,92.69,300,20.78,215471,52815,5805,242,0.2732,44775,Notifications,Education,0,0,0.22,Not Applied,0.0,Not Applied,0.0
YT0000170,12.47,226,30.21,182,3.23,1064091,27064,7726,1544,0.0341,34370,Shorts Feed,Tech,0,0,0.0,Not Applied,0.0,Not Applied,0.0
YT0000171,22.62,28,2.06,591,6.96,1717477,62922,7924,1334,0.042,119536,Suggested,Sports,0,0,0.01,Not Applied,0.0,Not Applied,0.0
YT0000172,54.72,817,24.88,292,27.16,328663,97741,2618,1560,0.3101,89265,Suggested,Vlog,0,0,0.01,Not Applied,0.0,Not Applied,0.0
